,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,old_index,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
831,11.5,0.037000000000000005,0.4,0.9935,7.4,34.0,-1.0,3.05,4,5.5,0.62,161.0,0.17
905,11.1,0.047,0.42,0.9940000000000001,8.4,9.0,-1.0,3.06,4,1.6,0.65,101.0,0.19
906,10.3,0.048,0.45,0.9944,8.3,8.0,-1.0,3.08,4,1.3,0.61,72.0,0.27
908,9.8,0.054000000000000006,0.37,0.99795,8.0,23.0,-1.0,3.32,4,9.6,0.47,159.0,0.23
914,9.5,0.05,0.26,0.9946,8.0,11.5,-1.0,3.24,4,1.2,0.37,88.0,0.32
948,9.5,0.048,0.25,0.996,6.8,10.0,-1.0,3.36,4,3.2,0.52,57.0,0.705
991,10.2,0.046,0.44,0.9944,8.2,7.0,-1.0,3.14,4,1.3,0.62,69.0,0.26
993,10.1,0.046,0.18,0.9940000000000001,7.0,9.0,-1.0,3.38,4,1.3,0.47,62.0,0.24
1027,9.5,0.04,0.17,0.9956,8.0,13.0,-1.0,3.09,4,8.2,0.3,60.0,0.55
1029,9.3,0.05,0.44,0.9972,6.3,50.0,-1.0,3.19,4,11.0,0.57,245.0,0.6
1040,10.8,0.047,0.3,0.995,8.2,17.0,-1.0,3.22,4,2.1,0.71,138.0,0.68
1042,10.7,0.043,0.32,0.9952,7.3,18.0,-1.0,3.24,4,5.2,0.45,104.0,0.49
1053,10.3,0.05,0.55,0.9962,9.4,17.0,-1.0,3.12,4,2.2,0.69,119.0,0.29
1059,8.7,0.077,0.2,0.9944,5.3,48.0,-1.0,3.3,4,1.1,0.54,166.0,0.3
1109,9.3,0.054000000000000006,0.4,0.9952,9.2,18.0,-1.0,3.04,4,2.4,0.46,151.0,0.22
1114,10.0,0.047,0.17,0.9932,6.5,5.0,-1.0,3.26,4,1.4,0.32,26.0,0.52
1152,9.4,0.042,0.0,0.9937,6.1,24.0,-1.0,3.31,4,1.3,0.38,79.0,0.6
1154,9.0,0.037000000000000005,0.3,0.9967,7.9,37.0,-1.0,3.47,4,4.8,0.44,171.0,0.16
1155,10.5,0.034,0.36,0.9944,7.6,26.0,-1.0,3.42,4,2.1,0.48,172.0,0.33
1245,9.4,0.042,0.72,0.9999,8.0,62.0,-1.0,2.92,4,17.55,0.68,233.0,0.66
1293,11.6,0.03,0.22,0.993,6.9,10.0,-1.0,3.0,4,4.3,0.87,102.0,0.39
1294,11.6,0.031,0.22,0.993,6.9,10.0,-1.0,3.0,4,4.2,0.86,102.0,0.41
1349,10.4,0.042,0.39,0.9924,9.2,15.0,-1.0,2.96,4,0.9,0.28,61.0,0.35
1363,9.5,0.051,0.16,0.9940000000000001,6.9,15.0,-1.0,3.22,4,1.4,0.38,96.0,0.32
1405,10.2,0.069,0.24,0.9942,6.3,9.0,-1.0,3.15,4,6.9,0.35,117.0,0.39
1420,10.1,0.042,0.49,0.998,9.2,29.0,-1.0,3.1,4,11.8,0.34,137.0,0.28
1423,10.0,0.055999999999999994,0.74,0.9977,9.8,36.0,-1.0,3.06,4,10.0,0.43,225.0,0.25
1430,10.1,0.048,0.24,0.9923,7.0,8.0,-1.0,3.0,4,1.0,0.31,119.0,0.39
1474,9.5,0.057,0.24,0.9942,6.9,13.0,-1.0,2.99,4,3.6,0.48,85.0,0.25
1541,9.1,0.028999999999999998,0.24,0.993,7.1,29.0,-1.0,3.16,4,0.8,0.32,86.0,0.53
1558,9.0,0.045,0.49,0.9963,6.2,12.0,-1.0,3.27,4,6.4,0.57,115.0,0.43
1559,10.5,0.036000000000000004,0.49,0.992,8.8,14.0,-1.0,2.96,4,1.0,0.33,56.0,0.35
1574,10.5,0.048,0.49,0.9947,8.5,23.0,-1.0,2.88,4,8.8,0.34,108.0,0.17
1577,10.6,0.05,0.49,0.9946,7.1,17.0,-1.0,3.31,4,1.8,0.58,128.0,0.64
1579,9.0,0.062,0.49,0.9989,7.6,50.0,-1.0,3.22,4,13.4,0.53,191.0,0.31
1649,9.4,0.057999999999999996,0.49,0.9965,6.9,39.0,-1.0,3.65,4,1.6,0.52,166.0,0.26
1652,10.9,0.044000000000000004,0.49,0.9928,8.2,29.0,-1.0,3.24,4,1.0,0.36,118.0,0.29
1664,9.0,0.059000000000000004,0.46,1.0004,8.1,32.0,-1.0,3.27,4,15.4,0.58,177.0,0.28
1690,9.7,0.05,0.3,0.9951,9.0,7.0,-1.0,3.11,4,1.5,0.45,175.0,0.43
1702,8.6,0.046,0.19,0.9955,6.5,6.0,-1.0,3.25,4,4.2,0.35,114.0,0.27
1708,10.6,0.051,0.26,0.9946,7.0,25.0,-1.0,3.36,4,1.7,0.6,161.0,0.61
1718,9.0,0.05,0.33,0.9954,9.3,28.0,-1.0,3.16,4,1.7,0.43,178.0,0.2
1739,11.4,0.032,0.29,0.9908,8.4,4.0,-1.0,2.91,4,1.05,0.32,55.0,0.29
1781,10.5,0.051,0.37,0.9945,6.1,13.0,-1.0,3.49,4,1.8,0.44,200.0,0.32
1817,9.2,0.034,0.0,0.9932,7.2,46.0,-1.0,3.19,4,0.8,0.34,114.0,0.5
1856,10.0,0.055999999999999994,0.42,0.9968,10.0,34.0,-1.0,3.11,4,1.6,0.46,181.0,0.91
1924,10.4,0.032,0.36,0.993,7.6,6.0,-1.0,3.15,4,1.6,0.4,106.0,0.26
1951,10.2,0.046,0.46,0.9966,9.9,34.0,-1.0,3.02,4,1.4,0.49,185.0,1.005
1990,9.1,0.054000000000000006,0.27,0.9939,6.4,5.0,-1.0,3.24,4,1.1,0.52,110.0,0.43
2079,10.4,0.044000000000000004,0.32,0.9962,7.4,17.0,-1.0,3.32,4,7.1,0.41,117.0,0.45
2116,11.7,0.034,0.27,0.9902,6.8,19.0,-1.0,3.14,4,1.2,0.37,68.0,0.2
2119,10.3,0.033,0.36,0.9941,8.0,14.0,-1.0,3.2,4,1.5,0.39,122.0,0.16
2154,10.2,0.052000000000000005,0.45,0.9994,9.8,34.0,-1.0,3.12,4,8.6,0.59,187.0,0.93
2156,11.7,0.038,0.32,0.992,7.9,9.0,-1.0,3.05,4,3.6,0.31,76.0,0.28
2159,12.2,0.031,0.37,0.9897,6.3,6.0,-1.0,3.3,4,1.8,0.34,61.0,0.24
2225,9.2,0.067,0.26,0.9986,7.6,32.0,-1.0,3.03,4,15.3,0.44,166.0,0.23
2237,9.0,0.06,0.2,0.9983,6.4,37.0,-1.0,3.13,4,14.9,0.45,162.0,0.34
2275,9.2,0.067,0.26,0.9983799999999999,7.5,47.0,-1.0,3.04,4,14.95,0.49,178.0,0.29
2318,8.9,0.046,0.59,0.9981399999999999,7.5,58.0,-1.0,3.17,4,11.8,0.46,164.0,0.26
2337,9.0,0.067,0.35,0.9972,6.5,61.0,-1.0,3.15,4,9.8,0.57,180.0,0.28
2346,8.8,0.039,0.63,0.9979,7.7,58.0,-1.0,3.08,4,11.1,0.44,179.0,0.28
2372,11.5,0.036000000000000004,0.18,0.99125,6.0,5.0,-1.0,3.28,4,3.0,0.4,85.0,0.33
2379,9.6,0.084,0.19,0.99516,6.4,21.0,-1.0,3.49,4,2.0,0.63,191.0,0.27
2380,9.5,0.085,0.19,0.99516,6.4,21.0,-1.0,3.49,4,1.9,0.64,196.0,0.27
2386,9.9,0.053,0.29,0.9936200000000001,6.9,24.0,-1.0,3.29,4,1.3,0.54,189.0,0.3
2387,9.9,0.053,0.3,0.99361,6.9,24.0,-1.0,3.29,4,1.3,0.54,186.0,0.3
2388,11.3,0.040999999999999995,0.35,0.9914,7.6,7.0,-1.0,3.06,4,1.2,0.45,106.0,0.21
2400,10.0,0.047,0.42,0.9951700000000001,9.2,16.0,-1.0,3.09,4,2.0,0.66,104.0,0.19
2401,10.2,0.044000000000000004,0.49,0.9951399999999999,9.2,18.0,-1.0,3.1,4,2.0,0.53,107.0,0.16
2409,10.2,0.034,0.28,0.99405,7.1,23.0,-1.0,3.35,4,2.7,0.64,111.0,0.21
2412,9.4,0.08,0.17,0.99803,6.3,50.0,-1.0,3.47,4,8.8,0.66,212.0,0.38
2414,9.2,0.095,0.18,0.9977299999999999,6.2,28.0,-1.0,3.53,4,7.4,0.71,195.0,0.38
2435,9.8,0.034,0.35,0.99441,6.4,9.0,-1.0,3.17,4,5.6,0.5,148.0,0.35
2493,9.7,0.054000000000000006,0.23,0.99836,7.6,20.0,-1.0,3.16,4,12.7,0.5,139.0,0.31
2502,9.4,0.045,0.36,0.99556,8.6,11.0,-1.0,3.17,4,1.4,0.47,119.0,0.34
2531,9.4,0.049,0.27,0.9950200000000001,6.7,8.0,-1.0,3.16,4,7.1,0.38,178.0,0.54
2589,9.7,0.068,0.1,0.9949899999999999,7.2,25.0,-1.0,3.2,4,1.4,0.48,154.0,0.615
2656,10.0,0.039,0.24,0.9948,7.1,60.0,-1.0,3.19,4,5.4,0.78,196.0,0.23
2818,9.3,0.052000000000000005,0.47,0.9958,6.0,69.0,-1.0,2.91,4,10.6,0.34,148.0,0.11
2888,10.5,0.04,0.34,0.9918,8.5,5.0,-1.0,3.04,4,0.7,0.37,25.0,0.22
2920,10.8,0.032,0.4,0.99629,7.4,13.0,-1.0,3.01,4,11.9,0.46,92.0,0.28
2935,11.4,0.023,0.28,0.98993,7.1,3.0,-1.0,2.95,4,1.25,0.3,89.0,0.27
3021,10.6,0.046,0.29,0.9945799999999999,6.8,6.0,-1.0,3.34,4,4.6,0.48,88.0,0.27
3050,9.6,0.039,0.24,0.9945200000000001,6.2,138.5,-1.0,3.53,4,1.7,0.53,272.0,0.255
3067,10.7,0.033,0.42,0.99205,7.3,29.0,-1.0,3.17,4,1.2,0.43,142.0,0.28
3109,10.4,0.054000000000000006,0.36,0.99513,6.9,31.0,-1.0,3.4,4,4.5,0.57,203.0,0.3
3179,10.5,0.046,0.4,0.9919399999999999,8.5,31.0,-1.0,3.0,4,1.1,0.35,106.0,0.2
3186,10.8,0.046,0.59,0.9937299999999999,8.7,10.0,-1.0,3.06,4,1.7,0.56,70.0,0.3
3218,9.9,0.142,0.25,0.9927,6.5,8.0,-1.0,3.0,4,2.5,0.44,111.0,0.29
3275,9.8,0.043,0.02,0.99226,6.5,32.0,-1.0,3.14,4,0.9,0.47,99.0,0.48
3417,12.9,0.03,0.3,0.9892,6.7,18.0,-1.0,3.16,4,1.2,0.6,76.0,0.64
3528,11.1,0.036000000000000004,0.13,0.9931200000000001,6.9,19.0,-1.0,3.09,4,6.3,0.25,50.0,0.75
3559,11.8,0.031,0.24,0.99098,7.5,5.0,-1.0,3.01,4,3.85,0.36,34.0,0.34
3571,10.5,0.033,0.0,0.9936,5.9,8.0,-1.0,3.32,4,5.6,0.51,31.0,0.655
3578,11.2,0.038,0.22,0.99098,6.7,5.0,-1.0,3.1,4,1.2,0.37,124.0,0.22
3650,10.4,0.037000000000000005,0.6,0.99255,6.9,6.0,-1.0,2.92,4,4.0,0.59,122.0,0.19
3662,10.4,0.05,0.12,0.9926799999999999,6.1,11.0,-1.0,3.42,4,1.8,0.48,76.0,0.6
3714,10.0,0.027999999999999997,0.3,0.99272,8.5,34.0,-1.0,2.83,4,1.1,0.36,95.0,0.18
3736,12.7,0.026000000000000002,0.48,0.99144,6.5,18.0,-1.0,3.22,4,8.0,0.79,88.0,0.32
3770,12.0,0.013999999999999999,0.31,0.9909399999999999,7.4,15.0,-1.0,3.03,4,2.4,0.65,143.0,0.27
3872,8.6,0.054000000000000006,0.54,0.99864,7.3,63.0,-1.0,3.06,4,13.3,0.49,193.0,0.36
3879,11.1,0.054000000000000006,0.2,0.99324,6.8,25.0,-1.0,3.12,4,6.6,0.28,65.0,0.73
3901,13.5,0.013000000000000001,0.12,0.99246,4.8,4.0,-1.0,3.32,4,1.1,0.36,10.0,0.65
3933,11.0,0.039,0.21,0.9932799999999999,8.7,28.0,-1.0,2.96,4,5.6,0.52,67.0,0.31
3965,11.2,0.05,0.23,0.9930399999999999,7.3,18.0,-1.0,3.1,4,6.5,0.55,102.0,0.38
3967,9.4,0.049,0.51,0.9954799999999999,6.3,35.0,-1.0,3.16,4,7.6,0.54,200.0,0.27
4020,8.4,0.055999999999999994,0.12,0.99536,6.4,6.0,-1.0,3.06,4,5.9,0.46,91.0,0.37
4039,12.4,0.033,0.16,0.9905799999999999,6.1,8.0,-1.0,3.35,4,4.4,0.47,109.0,1.1
4074,9.9,0.06,0.19,0.9958799999999999,6.6,15.0,-1.0,3.13,4,10.5,0.38,82.0,0.35
4212,8.8,0.052000000000000005,0.37,0.9960200000000001,6.6,13.0,-1.0,3.24,4,6.2,0.39,164.0,0.31
4213,10.1,0.142,0.53,0.9926,6.5,5.0,-1.0,3.14,4,1.4,0.52,69.0,0.38
4217,9.2,0.06,0.14,0.99344,6.1,27.0,-1.0,3.07,4,3.9,0.34,113.0,0.38
4223,11.2,0.028999999999999998,0.11,0.9907600000000001,5.3,6.0,-1.0,3.51,4,1.1,0.48,51.0,0.43
4253,11.2,0.036000000000000004,0.1,0.99082,5.3,11.0,-1.0,3.48,4,1.3,0.54,74.0,0.47
4278,10.1,0.04,0.29,0.99126,5.6,5.0,-1.0,3.07,4,2.3,0.45,47.0,0.18
4389,10.8,0.04,0.22,0.9933799999999999,6.3,30.0,-1.0,3.05,4,9.5,0.31,111.0,0.28
4483,9.55,0.057999999999999996,0.18,0.9928799999999999,5.8,7.0,-1.0,3.23,4,1.2,0.58,108.0,0.28
4508,11.5,0.034,0.3,0.9902,5.8,75.0,-1.0,3.2,4,2.6,0.38,129.0,0.26
4609,11.0,0.032,0.04,0.99036,6.0,8.0,-1.0,3.14,4,0.8,0.4,50.0,0.615
4680,10.2,0.057999999999999996,0.04,0.99271,6.8,25.0,-1.0,3.17,4,1.3,0.39,133.0,0.63
4774,11.2,0.045,0.34,0.9913200000000001,7.1,6.0,-1.0,3.16,4,1.2,0.46,132.0,0.24
4779,10.9,0.037000000000000005,0.0,0.9903200000000001,6.0,30.0,-1.0,3.1,4,0.8,0.4,95.0,0.59
4804,12.1,0.033,0.46,0.98934,6.0,9.0,-1.0,3.24,4,0.9,0.35,65.0,0.35
4839,11.6,0.038,0.15,0.99125,5.2,10.0,-1.0,3.52,4,1.45,0.4,44.0,0.405
4878,9.5,0.035,0.02,0.99234,6.2,6.0,-1.0,3.24,4,0.9,0.35,81.0,0.53
4916,9.0,0.086,0.08,0.9974,7.4,6.0,18.0,3.38,4,4.4,0.5,29.0,0.59
4936,9.8,0.172,0.09,0.9940000000000001,5.7,7.0,38.0,3.5,4,1.5,0.48,19.0,1.13
4939,9.3,0.08800000000000001,0.3,0.9976,8.8,17.0,41.0,3.26,4,2.8,0.51,46.0,0.61
4943,13.1,0.054000000000000006,0.15,0.9934,4.6,8.0,45.0,3.9,4,2.1,0.56,65.0,0.52
4971,9.2,0.084,0.26,0.9976,8.3,11.0,73.0,3.31,4,2.1,0.53,43.0,0.675
4977,9.1,0.08,0.2,0.9972,8.3,27.0,79.0,3.16,4,1.5,1.12,119.0,0.625
4992,10.5,0.045,0.04,0.9938,5.0,41.0,94.0,3.75,4,1.4,0.48,85.0,1.02
5049,9.4,0.61,1.0,0.9996,9.2,32.0,151.0,2.74,4,3.4,2.0,69.0,0.52
5059,9.2,0.07200000000000001,0.02,0.9965,7.6,9.0,161.0,3.17,4,1.3,1.08,20.0,0.68
5065,9.0,0.07200000000000001,0.03,0.9956,7.3,17.0,167.0,3.37,4,1.6,0.48,42.0,0.55
5068,9.1,0.057999999999999996,0.03,0.9972,7.9,4.0,170.0,3.36,4,1.8,0.33,8.0,0.885
5097,11.4,0.061,0.06,0.9948,6.9,12.0,199.0,3.51,4,2.1,0.43,31.0,1.09
5122,10.4,0.08900000000000001,0.36,0.99745,8.4,15.0,224.0,3.31,4,2.0,0.57,55.0,0.635
5159,9.4,0.087,0.04,0.99565,7.0,12.0,261.0,3.35,4,2.0,0.6,67.0,0.975
5164,9.8,0.096,0.0,1.00025,8.1,26.0,266.0,3.6,4,3.3,0.72,61.0,0.87
5307,9.6,0.07,0.49,0.9981,12.5,26.0,409.0,3.05,4,4.5,0.57,49.0,0.46
5471,9.6,0.07,0.49,0.9991,10.5,14.0,573.0,3.3,4,2.1,0.56,47.0,0.59
5474,10.0,0.10300000000000001,0.24,0.9978,9.9,6.0,576.0,3.34,4,2.3,0.52,14.0,0.5
5498,10.0,0.08800000000000001,0.27,0.9962,8.2,7.0,600.0,3.26,4,2.1,0.47,23.0,0.915
5531,11.3,0.105,0.22,1.001,10.1,11.0,633.0,3.43,4,3.4,0.64,86.0,0.935
5545,11.0,0.07,0.01,0.9967,8.3,5.0,647.0,3.32,4,2.2,0.58,14.0,0.845
5557,11.0,0.096,0.02,0.997,7.1,5.0,659.0,3.41,4,4.4,0.57,13.0,0.84
5601,9.6,0.073,0.48,0.9972,7.5,22.0,703.0,3.32,4,2.6,0.7,84.0,0.38
5602,9.7,0.078,0.04,0.998,9.1,4.0,704.0,3.29,4,1.6,0.54,14.0,0.765
5622,11.2,0.086,0.1,0.9958,7.5,5.0,724.0,3.54,4,3.1,0.6,12.0,1.115
5711,11.4,0.102,0.24,0.9946200000000001,6.9,4.0,813.0,3.44,4,2.1,0.58,7.0,0.39
5728,10.9,0.057999999999999996,0.07,0.9963200000000001,7.5,5.0,830.0,3.38,4,2.5,0.55,9.0,0.685
5731,9.9,0.147,0.44,0.99836,11.6,36.0,833.0,3.38,4,1.6,0.86,51.0,0.47
5770,10.0,0.067,0.24,0.9957600000000001,7.3,28.0,872.0,3.43,4,2.0,0.54,48.0,0.35
5774,10.9,0.067,0.0,0.9951700000000001,7.1,7.0,876.0,3.4,4,2.2,0.58,14.0,0.47
5825,9.2,0.09300000000000001,0.19,0.99736,8.4,11.0,927.0,3.2,4,2.2,0.59,75.0,0.67
5835,10.4,0.071,0.5,0.9979100000000001,12.0,6.0,937.0,3.07,4,1.4,0.6,26.0,0.63
6022,11.5,0.096,0.0,0.9955700000000001,6.5,3.0,1124.0,3.62,4,2.2,0.62,13.0,0.58
6074,11.2,0.079,0.03,0.99572,6.5,23.0,1176.0,3.58,4,5.6,0.5,47.0,0.88
6087,9.6,0.075,0.05,0.99616,8.8,5.0,1189.0,3.3,4,1.8,0.44,19.0,0.955
6131,9.3,0.057,0.37,0.9961399999999999,10.2,14.0,1233.0,3.23,4,2.2,0.49,36.0,0.23
6133,11.5,0.054000000000000006,0.32,0.99572,6.0,6.0,1235.0,3.3,4,12.9,0.56,113.0,0.33
6136,9.6,0.081,0.0,0.99798,8.1,12.0,1238.0,3.38,4,2.5,0.46,24.0,0.73
6137,11.8,0.057,0.0,0.9948799999999999,6.5,11.0,1239.0,3.45,4,4.3,0.56,20.0,0.67
6159,11.2,0.083,0.0,0.9943700000000001,6.3,17.0,1261.0,3.59,4,2.0,0.55,24.0,1.02
6161,9.6,0.08900000000000001,0.0,0.9978,8.2,13.0,1263.0,3.37,4,2.2,0.46,26.0,0.78
6174,12.0,0.05,0.4,0.99566,8.5,3.0,1276.0,3.28,4,6.3,0.56,10.0,0.4
6191,9.7,0.084,0.0,0.99672,7.5,6.0,1293.0,3.34,4,1.9,0.49,12.0,0.755
6205,11.1,0.068,0.09,0.99524,6.8,15.0,1307.0,3.41,4,3.9,0.52,29.0,0.68
6261,9.8,0.08,0.27,0.9965200000000001,8.0,11.0,1363.0,3.29,4,2.0,0.48,63.0,0.83
6267,10.4,0.069,0.0,0.9939600000000001,6.6,4.0,1369.0,3.33,4,1.6,0.37,8.0,0.61
6321,11.0,0.12300000000000001,0.09,0.9968,6.4,14.0,1423.0,3.5,4,3.9,0.67,31.0,0.53
6359,10.0,0.06,0.0,0.99664,6.2,6.0,1461.0,3.59,4,2.1,0.61,13.0,0.785
6365,11.0,0.067,0.08,0.9964799999999999,6.7,19.0,1467.0,3.52,4,2.3,0.57,32.0,1.04
6378,10.1,0.08,0.03,0.99498,5.6,6.0,1480.0,3.66,4,1.5,0.62,13.0,0.62
6380,10.3,0.114,0.54,0.9971899999999999,7.2,3.0,1482.0,3.33,4,2.1,0.57,9.0,0.58
6382,10.9,0.06,0.06,0.99592,6.8,4.0,1484.0,3.53,4,2.0,0.64,11.0,0.91
6419,9.05,0.08199999999999999,0.2,0.99585,6.9,9.0,1521.0,3.39,4,1.9,0.43,23.0,0.48
10,12.0,0.033,0.41,0.9908,8.1,11.0,-1.0,2.99,5,1.45,0.56,63.0,0.27
11,9.7,0.035,0.4,0.9947,8.6,17.0,-1.0,3.14,5,4.2,0.53,109.0,0.23
12,10.8,0.04,0.37,0.992,7.9,16.0,-1.0,3.18,5,1.2,0.63,75.0,0.18
14,9.7,0.04,0.62,1.0002,8.3,41.0,-1.0,2.98,5,19.25,0.67,172.0,0.42
19,9.5,0.044000000000000004,0.14,0.9955,6.5,34.0,-1.0,3.22,5,7.5,0.5,133.0,0.31
23,9.3,0.07400000000000001,0.14,0.9937,7.6,25.0,-1.0,3.05,5,1.5,0.51,168.0,0.67
34,10.2,0.044000000000000004,0.2,0.9962,5.8,22.0,-1.0,3.37,5,14.95,0.37,179.0,0.27
